numero di parole,PAROLE_ESSENZIALI,1sost2Verbi3Agg4Avv,PAROLA,LetteraIniziale,ContieneDoppie,CosaE,DeMauro,COLFISfASS,Nsillabe,Sillaba1,Sillaba2,Sillaba3,Sillaba4,Sillaba5,Sillaba6,NonParola1_similexfinale,NonParola2_similexiniziali,FRASE,ChiCosComDovQuaPer,ChiCosComDovQuaPerCorr,ChiCosComDovQuaPerErr1,ChiCosComDovQuaPerErr2,,FrasiOhO,FraseOhO,corretta,errata,,articoloIndizio,fraseArticoli,par_F_sing,par_F_plur,par_M_sing,par_M_plur,,CECISONOCISARANNO,FraseCECISON,Passato,Presente,Futuro,Indizio_parte_del_testo,Indizio,parte_da_eliminareCORRETTA,Errata1,Errata2,ConsonanteVocale,,PAROLA,1Animali,1Vegetali,2PartidelCorpo,2Abbigliamento,2MangiareeBere,2Mobilia,2MezzoT
11,,1,altalena,a,2,s.,2,15,4,al,ta,le,na,,,creolena,altabride,Domani nel parco vicino alla scuola ci sarà una nuova altalena di legno,Come sarà l'altalena?,Di legno,Vecchia,Di ferro,,L'altalena di Giada ha un seggiolino di colore rosso,L'altalena di Giada ... un seggiolino di colore rosso,HA,A,,par_F_plur,Le ... si trovano nel parco giochi,altalena,altalene,,animali,,Domani nel parco vicino alla scuola ci sarà una nuova altalena di legno,Domani nel parco vicino alla scuola ... una nuova altalena di legno,0,0,1,SI,FUTURO,ci sarà,c'era,ci saranno,VCCVCVCV,,altalena,,,,,,,
12,,1,alveare,a,2,s.,2,11,4,al,ve,a,re,,,trigare,alvetoi,Le api hanno costruito un alveare enorme sull'albero,Le api dove hanno costruito un alveare?,Sull'albero,Sull'altare,Sul mare,,Le api hanno costruito un alveare enorme sull'albero,Le api ... costruito un alveare enorme sull'albero,HANNO,ANNO,,par_F_plur,Le ... hanno costruito un alveare enorme sull'albero,ape,api,,calabroni,,L'anno scorso c'era un alveare enorme sull'albero ,L'anno scorso ... un alveare enorme sull'albero ,1,0,0,SI,PASSATO,c'era,ci sarà,ci sono,VCCVVCV,,alveare,,,,,,,
13,,1,ananas,a,2,s.,3,15,3,a,na,nas,,,,malnas,anater,A Cuba Anna ha mangiato gli ananas deliziosi,Dove ha mangiato Anna?,A Cuba,A Topolinia,Ananas,,A Cuba Anna ha mangiato gli ananas deliziosi,... Cuba Anna ha mangiato gli ananas deliziosi,A,HA,,par_M_plur,A Cuba Anna ha mangiato gli ... di Miguel,albicocca,banane,,ananas,,Dal fruttivendolo c'era anche l'ananas,Dal fruttivendolo ... anche l'ananas,1,0,0,NO,PASSATO,c'era,c'erano,ci saranno,VCVCVC,,ananas,,1,,,1,,
14,,1,ancora,a,2,s./avv.,1,4009,3,an,co,ra,,,,eveora,ancite,I marinai sulla nave hanno gettato l'ancora,Chi ha gettato l'ancora?,Marinai,Pirati,Marina,,I marinai sulla nave hanno gettato l'ancora,I marinai sulla nave ... gettato l'ancora,HANNO,ANNO,,par_M_plur,I ... sulla nave hanno gettato l'ancora,,sirene,marinaio,marinai,,Non c'era più l'ancora sulla nave,Non ... più l'ancora sulla nave,1,0,0,NO,PASSATO,c'era,ci sono,c'è,VCCVCV,,ancora,,,,,,,
15,,1,anello,a,1,s.,1,55,3,a,nel,lo,,,,evallo,anetta,Il papà ha regalato un anello prezioso alla mamma,Cosa ha regalato il papà alla mamma?,Anello,Cappello,Pupazzo,,Il papà ha regalato un anello prezioso alla mamma,Il papà ... regalato un anello prezioso alla mamma,HA,A,,par_M_sing,Il ... ha regalato un anello prezioso alla mamma,perla,mamme,papà,,,C'è un anello prezioso nel portagioie della mamma,... un anello prezioso nel portagioie della mamma,0,1,0,NO,PRESENTE,c'è,ci sono,ci saranno,VCVCCV,,anello,,,,1,,,
16,,1,angelo,a,2,s.,1,222,3,an,ge,lo,,,,nagelo,anguro,Gli angeli hanno capelli dorati,Chi ha capelli dorati?,Angeli,Anelli,Folletti,,Gli angeli hanno capelli dorati,Gli angeli ... capelli dorati,HANNO,ANNO,,par_M_plur,Gli ... hanno capelli dorati,bambola,principesse,,angeli,,In paradiso ci sono gli angeli,In paradiso ... gli angeli,0,1,0,NO,PRESENTE,ci sono,c'era,ci sarà,VCCVCV,,angelo,,,,,,,
17,1,1,ape,a,2,s.,2,23,2,a,pe,,,,,ipe,afe,Le api producono il miele nell’alveare,Dove producono il miele le api?,Alveare,Cuccia,Prato,,Le api hanno la capacità di produrre il miele,Le api ... la capacità di produrre il miele,HANNO,ANNO,,par_F_plur,Le ... producono il miele nell’alveare,vespe,api,,bombi,,Ieri c'erano tante api nell'alveare,Ieri … tante api nell'alveare,1,0,0,SI,PASSATO,c'erano,c'era,ci sono,VCV,,ape,1,,,,,,
18,,1,aquila,a,2,s.,2,30,3,a,qui,la,,,,equila,aquada,Le aquile volano alte nel cielo,Dove volano le aquile?,Nel cielo,Nel mare,Nel cesto,,L'aquila ha degli artigli affilati,L'aquila ... degli artigli affilati,HA,A,,par_F_plur,Le ...  volano alte nel cielo,,aquile,falco,falchi,,Ieri c'erano delle aquile che volavano alte nel cielo,Ieri ... delle aquile che volavano alte nel cielo,1,0,0,SI,PASSATO,c'erano,c'è,ci sono,VCVVCV,,aquila,1,,,,,,
19,,1,arancio,a,2,s.,2,34,3,a,ran,cio,,,,crescio,ararvia,Gli aranci sono gli alberi delle arance,Cosa sono gli aranci?,Alberi,Verdure,Animali,,L'arancio ha fatto tantissimi frutti quest'anno,L'arancio ha fatto tantissimi frutti quest' ...,ANNO,HANNO,,par_M_plur,Gli ... sono gli alberi delle arance,arancia,pere,,aranci,,In giardino ci sono tre aranci,In giardino ... tre aranci,0,1,0,NO,PRESENTE,ci sono,ci saranno,c'erano,VCVCCVV,,arancio,,1,,,,,
20,,1,arcobaleno,a,2,s.,2,9,5,ar,co,ba,le,no,,ermobaleno,arcostilovo,L'arcobaleno ha sette colori diversi nella sua coda,Com'è l'arcobaleno?,Colorato,Grigio,Ad arco,,L'arcobaleno ha sette colori diversi nella sua coda,L'arcobaleno ... sette colori diversi nella sua coda,HA,A,,par_M_plur,Gli ... sono colorati e suggestivi,nuvola,nuvole,,arcobaleni,,Ci sono sette colori nella coda di un arcobaleno,... sette colori nella coda di un arcobaleno,0,1,0,NO,PRESENTE,ci sono,c'erano,c'è,VCCVCVCVCV,,arcobaleno,,,,,,,
21,,1,armadio,a,2,s.,3,51,3,ar,ma,dio,,,,stradio,armuteo,Marco non mette mai i vestiti nell'armadio,Chi non mette mai i vestiti nell'armadio?,Marco,Marcello,Parco,,Marco ha messo dei vestiti puzzolenti nell'armadio,Marco ... messo dei vestiti puzzolenti nell'armadio,HA,A,,par_M_plur,Marco non mette mai i ... nell'armadio,vestaglia,magliette,,vestiti,,Nell'armadio c'erano dei vestiti puzzolenti,Nell'armadio ... dei vestiti puzzolenti,1,0,0,NO,PASSATO,c'erano,ci sono,ci sarà,VCCVCVV,,armadio,,,,,,1,
22,,1,ascia,a,2,s.,2,19,2,a,scia,,,,,uscia,aschio,Il taglialegna usa l'ascia per abbattere gli alberi,Chi usa l'ascia per abbattere gli alberi?,Il taglialegna,Il meccanico,Il muratore,,L'ascia ha una lama molto affilata,L'ascia ... una lama molto affilata,HA,A,,par_F_plur,Le ... sono state nell'antichità i primi utensili per tagliare la legna ,ascia,asce,,fucili,,Ci sono delle asce da guerra esposte al museo,... delle asce da guerra esposte al museo,0,1,0,NO,PRESENTE,Ci sono,C'era,C'è,VCCVV,,ascia,,,,,,,
23,,1,asciugamano,a,2,s.,3,3,5,a,sciu,ga,ma,no,,cratibamano,asciugapito,Gli asciugamani hanno dei ricami arancioni,Cosa hanno gli asciugamani?,Dei ricami arancioni,Dei buchi,Dei merletti bianchi,,Gli asciugamani hanno dei ricami arancioni,Gli asciugamani ... dei ricami arancioni,HANNO,ANNO,,par_M_plur,Gli ... hanno dei ricami arancioni,tenda,tende,,asciugamani,,C'erano degli asciugamani con dei ricami arancioni in hotel,... degli asciugamani con dei ricami arancioni in hotel,1,0,0,NO,PASSATO,c'erano,ci sono,c'era,VCCVVCVCVCV,,asciugamano,,,,1,,,
24,,1,asino,a,2,s.,3,12,3,a,si,no,,,,vrino,asito,"Fin dall'antichità, gli asini vengono utilizzati per trasportare le merci ",Per cosa vengono usati gli asini?,Per trasportare,Per saltare,Per spingere,,L'asino è un animale che ha una forte resistenza,L'asino è un animale che ... una forte resistenza,HA,A,,par_M_plur,Gli ... sono animali robusti,,giraffe,asino,asini,,Nel presepe c'è l'asino accanto al bue ,Nel presepe ... l'asino accanto al bue,0,1,0,NO,PRESENTE,c'è,ci sono,ci saranno,VCVCV,,asino,1,,,,,,
25,1,1,asparago,a,2,s.,2,13,4,a,spa,ra,go,,,ererago,aspatetu,La nonna ha preparato una buonissima frittata di asparagi,Cosa ha preparato la nonna?,Frittata,Uova,Torta,,La nonna ha preparato una buonissima frittata di asparagi,La nonna ... preparato una buonissima frittata di asparagi,HA,A,,par_F_sing,La ... prepara la frittata di asparagi,nonna,nonne,cuoco,,,In tavola c'è una buonissima frittata di asparagi ,In tavola ... una buonissima frittata di asparagi,0,1,0,NO,PRESENTE,c'è,ci sono,ci saranno,VCCVCVCV,,asparago,,1,,,1,,
26,,1,aspirapolvere,a,2,s.,2,2,6,a,spi,ra,pol,ve,re,estetipolvere,aspirapettara,L'aspirapolvere è utile per fare le pulizie di casa,Cosa è utile per fare le pulizie di casa?,L'aspirapolvere,Le lenzuola,I flaconi,,Le aspirapolveri possono essere senza filo o con il filo,Le aspirapolveri possono essere senza filo ... con il filo,O,HO,,par_M_plur,Gli ... possono essere senza filo o con il filo,scopa,,straccio,aspirapolveri,,Nel ripostiglio c'è un'aspirapolvere,Nel ripostiglio ... un'aspirapolvere,0,1,0,NO,PRESENTE,c'è,ci sono,c'era,VCCVCVCVCCVCV,,aspirapolvere,,,,,,,
27,,1,attaccapanni,a,1,s.,2,3,5,at,tac,ca,pan,ni,,evvettapanni,attaccadunno,"A casa di Gianni, c'è un attaccapanni in ogni stanza",Dove c'è un attaccapanni in ogni stanza?,A casa di Gianni,In palestra da Gianni,Al ristorante,,Io non ho gli attaccapanni in palestra,Io non ... gli attaccapanni in palestra,HO,O,,par_M_plur,Io non ho gli ... in palestra,,finestre,posacenere,attaccapanni,,"A casa di Gianni, c'è un attaccapanni in ogni stanza","A casa di Gianni, ... un attaccapanni in ogni stanza",0,1,0,NO,PRESENTE,c'è,ci sono,c'era,VCCVCCVCVCCV,,attaccapanni,,,,,,1,
28,1,1,ambulanza,a,2,s.,2,38,4,am,bu,lan,za,,,endolanza,ambutense,Le ambulanze hanno sirene rumorose,Cosa ha sirene rumorose?,Ambulanze,Ambulatori,Marinai,,Le ambulanze hanno sirene rumorose,Le ambulanze ... sirene rumorose,HANNO,ANNO,,par_F_plur,Le ... hanno sirene rumorose,macchina,ambulanze,trattore,,,C'erano molte ambulanze nel piazzale,... molte ambulanze nel piazzale ,1,0,0,NO,PASSATO,c'erano,c'è,c'era,VCCVCVCCV,,ambulanza,,,,,,,1
29,,1,autobus,a,2,s.,3,92,3,au,to,bus,,,,ergabus,autopor,Giovanni prende sempre l'autobus per andare a scuola,Giovanni prende sempre l'autobus per andare ...,A scuola,A nuoto,Dalla nonna,,Giovanni prende sempre l'autobus per andare a scuola,Giovanni prende sempre l'autobus per andare ... scuola,A,HA,,par_F_sing,La ... prende sempre l'autobus per andare al lavoro,zia,zie,papà,,,"Corriamo, c'è il nostro autobus in partenza","Corriamo, ... il nostro autobus in partenza",0,1,0,NO,PRESENTE,c'è,c'era,ci saranno,VVCVCVC,,autobus,,,,,,,1
30,,1,automobile,a,2,s.,3,132,5,au,to,mo,bi,le,,bitumobile,autovedica,L'automobile preferita di Stefano è bianca a strisce blu,L'automobile preferita di Stefano è ...,Bianca a strisce blu,Blu a strisce gialle,Bianca e verde,,Le automobili hanno quattro ruote,Le automobili ... quattro ruote,HANNO,ANNO,,par_F_plur,Le ... hanno quattro ruote,macchina,automobili,camion,,,Nel futuro ci saranno automobili con 3 ruote!,Nel futuro ... automobili con 3 ruote!,0,0,1,SI,FUTURO,ci saranno,c'erano,ci sono,VVCVCVCVCV,,automobile,,,,,,,1
31,,4,abbastanza,a,1,avv.,1,377,4,ab,ba,stan,za,,,errastanza,abbaventi,Giulia non ha abbastanza dolci per tutti,Giulia non ha abbastanza ... ,Dolci,Caramelle,Baci,,Giulia non ha abbastanza dolci per tutti,Giulia non ... abbastanza dolci per tutti,HA,A,,,,,,,,,Ci sono abbastanza dolci per tutti!,... abbastanza dolci per tutti!,0,1,0,NO,PRESENTE,Ci sono,C'erano,C'è,VCCVCCVCCV,,abbastanza,,,,,,,
32,,4,accanto,a,1,avv.,1,509,3,ac,can,to,,,,pastanto,accare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VCCVCCV,,accanto,,,,,,,
33,,4,addirittura,a,1,avv.,1,522,5,ad,di,rit,tu,ra,,mositura,addiricaloba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VCCVCVCCVCV,,addirittura,,,,,,,
34,,4,adesso,a,1,avv.,1,1285,3,a,des,so,,,,filesso,adenno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VCVCCV,,adesso,,,,,,,
35,,4,almeno,a,2,avv.,1,1143,3,al,me,no,,,,tileno,almiva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VCCVCV,,almeno,,,,,,,
36,,4,altrimenti,a,2,avv.,1,235,4,al,tri,men,ti,,,nuvlimenti,altrisula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VCCCVCVCCV,,altrimenti,,,,,,,
37,,2,abbracciare,a,1,v.,1,10,4,ab,brac,cia,re,,,dofacciare,abbratune,Nicolò abbraccia il suo orsacchiotto prima di dormire,Cosa abbraccia Nicolò prima di dormire?,Orsacchiotto,Macchinina,Borsetta,,Nicolò abbraccia il suo orsacchiotto prima di andare a dormire,Nicolò abbraccia il suo orsacchiotto prima di andare ... dormire,A,HA,,par_M_sing,Nicolò abbraccia il suo ... prima di dormire,macchinina,,orsacchiotto,pupazzi,,,,,,,,,,,,VCCCVCCVVCV,,abbracciare,,,,,,,
38,,2,aiutare,a,2,v.,1,143,4,a,iu,ta,re,,,vatare,aiuferi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VVVCVCV,,aiutare,,,,,,,
39,,2,allungare,a,1,v.,1,19,4,al,lun,ga,re,,,sisagare,alluntebi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VCCVCCVCV,,allungare,,,,,,,
40,,2,alzare,a,2,v.,1,39,3,al,za,re,,,,mazare,alzuvi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VCCVCV,,alzare,,,,,,,
41,,2,amare,a,2,v.,1,89,3,a,ma,re,,,,trare,amagu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VCVCV,,amare,,,,,,,
42,,2,andare,a,2,v.,1,909,3,an,da,re,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VCCVCV,,andare,,,,,,,
43,,2,arrivare,a,1,v.,1,432,4,ar,ri,va,re,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VCCVCVCV,,arrivare,,,,,,,
44,,2,ascoltare,a,2,v.,1,126,4,a,scol,ta,re,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VCCVCCVCV,,ascoltare,,,,,,,
45,,2,aspettare,a,1,v.,1,162,4,a,spet,ta,re,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VCCVCCVCV,,aspettare,,,,,,,
46,,2,avere,a,2,v.,1,1377,3,a,ve,re,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VCVCV,,avere,,,,,,,
47,,3,acerbo,a,2,agg.,2,6,3,a,cer,bo,,,,cearbo,acebori,La mela è ancora acerba,Com'è la mela?,Acerba,Matura,Acqua,,La mela è acerba o matura?,La mela è acerba ... matura?,O,HO,,par_F_sing,La ... è ancora acerba,mela,mele,,asparagi,,Ci sono delle mele ancora acerbe,... delle mele ancora acerbe,0,1,0,NO,PRESENTE,ci sono,ci saranno,c'era,VCVCCV,,acerbo,,,,,,,
48,,3,adatto,a,1,agg.,1,76,3,a,dat,to,,,,odetto,adarre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VCVCCV,,adatto,,,,,,,
49,,3,affatto,a,1,agg.,1,272,3,af,fat,to,,,,etritto,affalle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VCCVCCV,,affatto,,,,,,,
50,,3,affettuoso,a,1,agg.,3,38,4,af,fet,tuo,so,,,ghemeruoso,affettenta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VCCVCCVVCV,,affettuoso,,,,,,,
51,,3,allegro,a,1,agg.,3,51,3,al,le,gro,,,,filigro,allefra,"Chi è allegro, è anche sorridente","Chi è allegro, è anche...",Sorridente,Felice,Noioso,,Le persone allegre hanno una bella energia,Le persone allegre ... una bella energia,HANNO,ANNO,,par_F_plur,Le ... allegre hanno una bella energia,persona,persone,,procioni,,Ci saranno delle giornate allegre quando arriverà Luca,... delle giornate allegre quando arriverà Luca,0,0,1,SI,FUTURO,ci saranno,c'erano,ci sarà,VCCVCCV,,allegro,,,,,,,
52,,3,alto,a,2,agg.,1,623,2,al,to,,,,,elto,elsu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VCCV,,alto,,,,,,,
53,,3,altrettanto,a,1,agg.,1,205,4,al,tret,tan,to,,,megrittanto,altrefanule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VCCCVCCVCCV,,altrettanto,,,,,,,
54,,3,altro,a,2,agg.,1,3145,2,al,tro,,,,,giltro,alfei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VCCCV,,altro,,,,,,,
55,,3,amaro,a,2,agg.,3,48,3,a,ma,ro,,,,tearo,amafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VCVCV,,amaro,,,,,,,
56,,3,aperto,a,2,agg.,1,419,3,a,per,to,,,,georto,apelmo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VCVCCV,,aperto,,,,,,,
57,,3,appeso,a,1,agg.,2,31,3,ap,pe,so,,,,tilaso,appere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VCCVCV,,appeso,,,,,,,
58,,3,asciutto,a,1,agg.,3,30,3,a,sciut,to,,,,blicatto,asciurre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VCCVVCCV,,asciutto,,,,,,,
59,,3,assurdo,a,1,agg.,1,67,3,as,sur,do,,,,milurdo,assegli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VCCVCCV,,assurdo,,,,,,,
60,,3,astuto,a,2,agg.,2,15,3,a,stu,to,,,,preuto,astamu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VCCVCV,,astuto,,,,,,,
61,,33,azzurro,a,1,agg.,1,131,3,az,zur,ro,,,,effirro,azzunte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VCCVCCV,,azzurro,,,,,,,
62,,1,alluminio,a,1,s.,4,28,4,al,lu,mi,nio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VCCVCVCVV,,alluminio,,,,,,,
63,,1,animale,a,2,s.,4,145,4,a,ni,ma,le,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VCVCVCV,,animale,,,,,,,
64,,1,armonia,a,2,s.,4,66,3,ar,mo,nia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VCCVCVV,,armonia,,,,,,,
65,1,1,baffo,b,1,s.,3,10,2,baf,fo,,,,,vaffo,barto,Il gatto mi ha fatto il solletico con i suoi lunghi baffi,Chi ha fatto il solletico?,Gatto,Cane,Leone,,Il gatto mi ha fatto il solletico con i suoi lunghi baffi,Il gatto mi ... fatto il solletico con i suoi lunghi baffi,HA,A,,par_M_sing,Il ... mi ha fatto il solletico con i suoi lunghi baffi,tartaruga,,gatto,pesci,,,,,,,,,,,,CVCCV,,baffo,,,1,,,,
66,1,1,balena,b,2,s.,3,26,3,ba,le,na,,,,cipena,balete,I marinai hanno avvistato la balena tra le onde del mare,Dove è stata avvistata la balena?,Mare,Oceano,Deserto,,I marinai hanno avvistato la balena tra le onde del mare,I marinai ... avvistato la balena tra le onde del mare,HANNO,ANNO,,par_F_sing,I marinai hanno avvistato la ... tra le onde del mare,balena,cicogne,squalo,,,,,,,,,,,,,CVCVCV,,balena,1,,,,,,
67,1,1,bambola,b,2,s.,3,20,3,bam,bo,la,,,,gandola,bambeda,La bambola sopra la credenza è di porcellana ,Di che materiale è fatta la bambola?,Porcellana,Stoffa,Plastica,,La bambola di Giulia ha gli occhi grandi e i capelli biondi,La bambola di Giulia ... gli occhi grandi e i capelli biondi,HA,A,,par_F_plur,Le ... di pezza sono molto morbide ,bombola,bambole,,calzini,,Ci sono delle bambole vecchie sopra il letto della nonna,... delle bambole vecchie sopra il letto della nonna,0,1,0,NO,PRESENTE,Ci sono ,C'è ,Ci sarà,CVCCVCV,,bambola,,,,,,,
68,1,1,banana,b,2,s.,2,15,3,ba,na,na,,,,ganana,bantena,La mamma mi ha preparato un dolce con banane e yogurt,Chi ha preparato un dolce con banane e yogurt?,Mamma,Nonna,Nonno,,La banana ha la buccia verde o gialla,La banana ha la buccia verde ... gialla,O,HO,,par_F_sing,La ... non matura ha la buccia verde,banana,banane,kiwi,,,Nel cestino della frutta ci sono alcune banane troppo mature,Nel cestino della frutta ... alcune banane troppo mature,0,1,0,NO,PRESENTE,ci sono,c'è,c'era,CVCVCV,,banana,,1,,,1,,
